title,location,price,region,property,building,land_area,util_area
Prodej bytu 4+kk 191 m²,"Helénská, Praha 2 - Vinohrady",Cena na vyžádání,praha,po rekonstrukci,smíšená,,
Prodej bytu 4+kk 135 m²,Praha,29 500 000 Kč,praha,dobrý stav,smíšená,,
Prodej bytu 2+kk 56 m²,"Formanská, Praha 4 - Újezd u Průhonic",7 050 000 Kč,praha,novostavba,smíšená,,56 m
Prodej bytu 4+kk 101 m²,"Formanská, Praha 4 - Újezd u Průhonic",12 700 000 Kč,praha,novostavba,smíšená,,101 m
Prodej bytu 2+kk 56 m²,"Formanská, Praha 4 - Újezd u Průhonic",7 050 000 Kč,praha,novostavba,smíšená,,
Prodej bytu 4+kk 101 m²,"Formanská, Praha 4 - Újezd u Průhonic",12 700 000 Kč,praha,novostavba,smíšená,,
Prodej bytu 5+kk 293 m²,"Nad lomem, Praha 4 - Braník",Cena na vyžádání,praha,dobrý stav,skeletová,,293 m
Prodej bytu 5+kk 293 m²,"Nad lomem, Praha 4 - Braník",Cena na vyžádání,praha,dobrý stav,skeletová,,
Prodej bytu 4+kk 135 m²,"Mezitraťová, Praha 9",Cena na vyžádání,praha,dobrý stav,smíšená,,135 m
Prodej bytu 3+kk 100 m²,"Helénská, Praha 2 - Vinohrady",Cena na vyžádání,praha,po rekonstrukci,smíšená,,100 m
Prodej bytu 4+kk 135 m²,"Mezitraťová, Praha 9",Cena na vyžádání,praha,dobrý stav,smíšená,,
Prodej zahrady 400 m²,"U Obrázku, Liberec - Liberec XIV-Ruprechtice",1 090 000 Kč,liberecky-kraj,400 m,osobní,,
Prodej bytu 3+kk 100 m²,"Helénská, Praha 2 - Vinohrady",Cena na vyžádání,praha,po rekonstrukci,smíšená,,
Prodej bytu 1+kk 37 m²,"Zásada, okres Jablonec nad Nisou",1 800 000 Kč,liberecky-kraj,osobní,cihlová,,37 m
Prodej bytu 2+kk 68 m²,"Nad Vavrouškou, Praha 8 - Troja",9 900 000 Kč,praha,dobrý stav,cihlová,,68 m
Prodej bytu 1+kk 37 m²,"Zásada, okres Jablonec nad Nisou",1 800 000 Kč,liberecky-kraj,osobní,cihlová,,
Prodej bytu 2+kk 68 m²,"Nad Vavrouškou, Praha 8 - Troja",9 900 000 Kč,praha,dobrý stav,cihlová,,
Prodej domu 107 m² s pozemkem 189 m²,"Hůlkova, Praha 9",13 440 000 Kč,praha,osobní,cihlová,189 m,107 m
Prodej domu 107 m² s pozemkem 189 m²,"Hůlkova, Praha 9",13 440 000 Kč,praha,osobní,cihlová,189 m,
Prodej domu 107 m² s pozemkem 189 m²,"Hůlkova, Praha 9",13 440 000 Kč,praha,osobní,cihlová,,107 m
Prodej domu 107 m² s pozemkem 189 m²,"Hůlkova, Praha 9",13 440 000 Kč,praha,osobní,cihlová,,
Prodej domu 152 m² s pozemkem 229 m²,"Hůlkova, Praha 9",18 130 000 Kč,praha,osobní,cihlová,229 m,152 m
Prodej domu 152 m² s pozemkem 229 m²,"Hůlkova, Praha 9",18 130 000 Kč,praha,osobní,cihlová,229 m,
Prodej domu 152 m² s pozemkem 229 m²,"Hůlkova, Praha 9",18 130 000 Kč,praha,osobní,cihlová,,152 m
Prodej domu 152 m² s pozemkem 229 m²,"Hůlkova, Praha 9",18 130 000 Kč,praha,osobní,cihlová,,
Prodej bytu 1+kk 30 m²,"Bulharská, Praha 10 - Vršovice, okres Praha",4 500 000 Kč,praha,s.r.o.,cihlová,,30 m
Prodej bytu 1+kk 30 m²,"Bulharská, Praha 10 - Vršovice, okres Praha",4 500 000 Kč,praha,s.r.o.,cihlová,,
Pronájem bytu 2+kk 44 m²,"Hollarovo náměstí, Praha 3 - Vinohrady",13 000 Kč/měsíc,praha,osobní,cihlová,,44 m
Pronájem bytu 2+kk 44 m²,"Hollarovo náměstí, Praha 3 - Vinohrady",13 000 Kč/měsíc,praha,osobní,cihlová,,
